"id","user_id","repertoire_id","chapter_id","repertoire_title","chapter_title","color","date","moves_learned","total_moves","errors","total_chapters","is_revision"
"258","9","whCVdUeM","tNFnGGP6","Stafford Gambit Traps","Most common trap","black","2026-04-01 08:20:20.019","0","9","0","10","0"
"259","9","VanHKcn9","8akvpCMB","Nimzo","Chapitre : 3","white","2026-04-01 08:23:47.946","0","3","0","4","0"
"261","1","uajl8zTQ","KDCWmjkw","Trompowsky","Chapitre : 1","black","2026-04-01 08:25:21.295","0","67","0","6","0"
"264","1","LwoJI6UV","0VldBnct","Benoni","Cf3-d2 sans e4","black","2026-04-01 13:19:27.969","0","43","0","5","0"
"265","9","whCVdUeM","Ue5KaLXB","Stafford Gambit Traps","Oh no my queen!","black","2026-04-01 14:41:58.121","0","14","0","10","0"
"271","1","0Scd05Lv","2HloaFlv","Système de Londres","Cf6 c5","white","2026-04-01 20:48:56.765","14","14","6","10","1"
"274","1","0Scd05Lv","5ULSusVv","Système de Londres","d5 Cf6 e6","white","2026-04-01 20:54:54.694","0","36","0","10","0"
"277","1","Rqrw5eUM","06yMbr5z","Sicilienne dragon, variante Yougoslave","Chapitre I: O-O-O (v1)","black","2026-04-02 07:10:54.059","0","62","0","4","0"
"281","1","JJodqpzI","KFn0nn9S","Sicilienne dragon, début fermé","f4","black","2026-04-02 08:34:13.971","33","33","0","5","1"
"286","1","JJodqpzI","LOCibfYx","Sicilienne dragon, début fermé","g3 puis Ce2","black","2026-04-02 08:35:35.996","10","10","0","5","1"
"288","1","JJodqpzI","oxVRej8K","Sicilienne dragon, début fermé","d4","black","2026-04-02 08:39:28.465","75","75","0","5","1"
"290","1","JJodqpzI","N3bLz9K0","Sicilienne dragon, début fermé","Cf3 puis d3","black","2026-04-02 08:40:10.218","11","11","0","5","1"
"291","9","T2CPHxUP","vE2FGeTG","Gambit Benko & Bluemenfeld","Partie gambit benko accepté (1)","white","2026-04-02 09:27:42.542","0","73","0","13","0"
"293","1","LwoJI6UV","aUXrfHEK","Benoni","f4 - e5 rapide","black","2026-04-02 13:42:16.303","0","18","0","5","0"
